"Notes"	"Year"	"Year Code"	"Age Group"	"Age Group Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"< 1 year"	"1"	27937	3795762	736.0
	"1999"	"1999"	"1-4 years"	"1-4"	5249	15339782	34.2
	"1999"	"1999"	"5-9 years"	"5-9"	3474	20606460	16.9
	"1999"	"1999"	"10-14 years"	"10-14"	4121	20213364	20.4
	"1999"	"1999"	"15-19 years"	"15-19"	13778	20084602	68.6
	"1999"	"1999"	"20-24 years"	"20-24"	16878	18591429	90.8
	"1999"	"1999"	"25-34 years"	"25-34"	41066	40178406	102.2
	"1999"	"1999"	"35-44 years"	"35-44"	89256	45076677	198.0
	"1999"	"1999"	"45-54 years"	"45-54"	152974	36577819	418.2
	"1999"	"1999"	"55-64 years"	"55-64"	238979	23778026	1005.0
	"1999"	"1999"	"65-74 years"	"65-74"	452600	18418909	2457.3
	"1999"	"1999"	"75-84 years"	"75-84"	698590	12224914	5714.5
	"1999"	"1999"	"85+ years"	"85+"	646141	4154018	15554.6
	"1999"	"1999"	"Not Stated"	"NS"	356	Not Applicable	Not Applicable
"Total"	"1999"	"1999"			2391399	279040168	857.0
	"2000"	"2000"	"< 1 year"	"1"	28035	3805648	736.7
	"2000"	"2000"	"1-4 years"	"1-4"	4979	15370150	32.4
	"2000"	"2000"	"5-9 years"	"5-9"	3253	20549505	15.8
	"2000"	"2000"	"10-14 years"	"10-14"	4160	20528072	20.3
	"2000"	"2000"	"15-19 years"	"15-19"	13563	20219890	67.1
	"2000"	"2000"	"20-24 years"	"20-24"	17744	18964001	93.6
	"2000"	"2000"	"25-34 years"	"25-34"	40451	39891724	101.4
	"2000"	"2000"	"35-44 years"	"35-44"	89798	45148527	198.9
	"2000"	"2000"	"45-54 years"	"45-54"	160341	37677952	425.6
	"2000"	"2000"	"55-64 years"	"55-64"	240846	24274684	992.2
	"2000"	"2000"	"65-74 years"	"65-74"	441209	18390986	2399.1
	"2000"	"2000"	"75-84 years"	"75-84"	700445	12361180	5666.5
	"2000"	"2000"	"85+ years"	"85+"	658171	4239587	15524.4
	"2000"	"2000"	"Not Stated"	"NS"	356	Not Applicable	Not Applicable
"Total"	"2000"	"2000"			2403351	281421906	854.0
	"2001"	"2001"	"< 1 year"	"1"	27568	4012658	687.0
	"2001"	"2001"	"1-4 years"	"1-4"	5107	15285559	33.4
	"2001"	"2001"	"5-9 years"	"5-9"	3093	20173362	15.3
	"2001"	"2001"	"10-14 years"	"10-14"	4002	20978678	19.1
	"2001"	"2001"	"15-19 years"	"15-19"	13555	20456284	66.3
	"2001"	"2001"	"20-24 years"	"20-24"	18697	19757286	94.6
	"2001"	"2001"	"25-34 years"	"25-34"	41683	39471522	105.6
	"2001"	"2001"	"35-44 years"	"35-44"	91674	45051752	203.5
	"2001"	"2001"	"45-54 years"	"45-54"	168065	39386268	426.7
	"2001"	"2001"	"55-64 years"	"55-64"	244139	25105295	972.5
	"2001"	"2001"	"65-74 years"	"65-74"	430960	18384179	2344.2
	"2001"	"2001"	"75-84 years"	"75-84"	701929	12593618	5573.7
	"2001"	"2001"	"85+ years"	"85+"	665531	4312494	15432.6
	"2001"	"2001"	"Not Stated"	"NS"	422	Not Applicable	Not Applicable
"Total"	"2001"	"2001"			2416425	284968955	848.0
	"2002"	"2002"	"< 1 year"	"1"	28034	3951461	709.5
	"2002"	"2002"	"1-4 years"	"1-4"	4858	15477731	31.4
	"2002"	"2002"	"5-9 years"	"5-9"	3018	19872417	15.2
	"2002"	"2002"	"10-14 years"	"10-14"	4132	21261421	19.4
	"2002"	"2002"	"15-19 years"	"15-19"	13812	20610370	67.0
	"2002"	"2002"	"20-24 years"	"20-24"	19234	20243765	95.0
	"2002"	"2002"	"25-34 years"	"25-34"	41355	39349646	105.1
	"2002"	"2002"	"35-44 years"	"35-44"	91140	44640649	204.2
	"2002"	"2002"	"45-54 years"	"45-54"	172385	39992194	431.0
	"2002"	"2002"	"55-64 years"	"55-64"	253342	26703332	948.7
	"2002"	"2002"	"65-74 years"	"65-74"	422990	18388535	2300.3
	"2002"	"2002"	"75-84 years"	"75-84"	707654	12764864	5543.8
	"2002"	"2002"	"85+ years"	"85+"	681076	4368808	15589.5
	"2002"	"2002"	"Not Stated"	"NS"	357	Not Applicable	Not Applicable
"Total"	"2002"	"2002"			2443387	287625193	849.5
	"2003"	"2003"	"< 1 year"	"1"	28025	3975871	704.9
	"2003"	"2003"	"1-4 years"	"1-4"	4965	15616575	31.8
	"2003"	"2003"	"5-9 years"	"5-9"	2898	19620851	14.8
	"2003"	"2003"	"10-14 years"	"10-14"	4056	21415353	18.9
	"2003"	"2003"	"15-19 years"	"15-19"	13595	20797166	65.4
	"2003"	"2003"	"20-24 years"	"20-24"	19973	20591688	97.0
	"2003"	"2003"	"25-34 years"	"25-34"	41300	39243795	105.2
	"2003"	"2003"	"35-44 years"	"35-44"	89461	44154206	202.6
	"2003"	"2003"	"45-54 years"	"45-54"	176781	40819954	433.1
	"2003"	"2003"	"55-64 years"	"55-64"	262519	28008945	937.3
	"2003"	"2003"	"65-74 years"	"65-74"	413497	18500915	2235.0
