"Notes"	"Year"	"Year Code"	"Age Group"	"Age Group Code"	Deaths	Population	Crude Rate
	"1979"	"1979"	"< 1 year"	"1"	4	3494398	0.1 (Unreliable)
	"1979"	"1979"	"1-4 years"	"1-4"	9	12637000	0.1 (Unreliable)
	"1979"	"1979"	"5-9 years"	"5-9"	1	16947000	0.0 (Unreliable)
	"1979"	"1979"	"10-14 years"	"10-14"	1	18445000	0.0 (Unreliable)
	"1979"	"1979"	"15-19 years"	"15-19"	18	21348000	0.1 (Unreliable)
	"1979"	"1979"	"20-24 years"	"20-24"	76	21096000	0.4
	"1979"	"1979"	"25-34 years"	"25-34"	188	36038000	0.5
	"1979"	"1979"	"35-44 years"	"35-44"	61	25114000	0.2
	"1979"	"1979"	"45-54 years"	"45-54"	28	22935000	0.1
	"1979"	"1979"	"55-64 years"	"55-64"	34	21448000	0.2
	"1979"	"1979"	"65-74 years"	"65-74"	11	15338000	0.1 (Unreliable)
	"1979"	"1979"	"75-84 years"	"75-84"	10	7598000	0.1 (Unreliable)
	"1979"	"1979"	"85+ years"	"85+"	3	2197000	0.1 (Unreliable)
	"1979"	"1979"	"Not Stated"	"NS"	1	Not Applicable	Not Applicable
"Total"	"1979"	"1979"			445	224635398	0.2
	"1980"	"1980"	"< 1 year"	"1"	7	3612258	0.2 (Unreliable)
	"1980"	"1980"	"1-4 years"	"1-4"	7	12814562	0.1 (Unreliable)
	"1980"	"1980"	"5-9 years"	"5-9"	1	16699956	0.0 (Unreliable)
	"1980"	"1980"	"10-14 years"	"10-14"	1	18242129	0.0 (Unreliable)
	"1980"	"1980"	"15-19 years"	"15-19"	11	21168124	0.1 (Unreliable)
	"1980"	"1980"	"20-24 years"	"20-24"	60	21318704	0.3
	"1980"	"1980"	"25-34 years"	"25-34"	177	37081839	0.5
	"1980"	"1980"	"35-44 years"	"35-44"	67	25634710	0.3
	"1980"	"1980"	"45-54 years"	"45-54"	33	22799787	0.1
	"1980"	"1980"	"55-64 years"	"55-64"	23	21702875	0.1
	"1980"	"1980"	"65-74 years"	"65-74"	18	15580605	0.1 (Unreliable)
	"1980"	"1980"	"75-84 years"	"75-84"	11	7728755	0.1 (Unreliable)
	"1980"	"1980"	"85+ years"	"85+"	2	2240067	0.1 (Unreliable)
"Total"	"1980"	"1980"			418	226624371	0.2
	"1981"	"1981"	"< 1 year"	"1"	2	3629238	0.1 (Unreliable)
	"1981"	"1981"	"1-4 years"	"1-4"	5	13285279	0.0 (Unreliable)
	"1981"	"1981"	"5-9 years"	"5-9"	1	16060121	0.0 (Unreliable)
	"1981"	"1981"	"10-14 years"	"10-14"	2	18300407	0.0 (Unreliable)
	"1981"	"1981"	"15-19 years"	"15-19"	12	20540557	0.1 (Unreliable)
	"1981"	"1981"	"20-24 years"	"20-24"	67	21662844	0.3
	"1981"	"1981"	"25-34 years"	"25-34"	231	38900521	0.6
	"1981"	"1981"	"35-44 years"	"35-44"	82	26394390	0.3
	"1981"	"1981"	"45-54 years"	"45-54"	52	22579535	0.2
	"1981"	"1981"	"55-64 years"	"55-64"	28	21913823	0.1
	"1981"	"1981"	"65-74 years"	"65-74"	16	15889870	0.1 (Unreliable)
	"1981"	"1981"	"75-84 years"	"75-84"	13	7981752	0.2 (Unreliable)
	"1981"	"1981"	"85+ years"	"85+"	3	2349175	0.1 (Unreliable)
"Total"	"1981"	"1981"			514	229487512	0.2
	"1982"	"1982"	"< 1 year"	"1"	1	3680537	0.0 (Unreliable)
	"1982"	"1982"	"1-4 years"	"1-4"	6	13584259	0.0 (Unreliable)
	"1982"	"1982"	"15-19 years"	"15-19"	16	19961684	0.1 (Unreliable)
	"1982"	"1982"	"20-24 years"	"20-24"	81	21682133	0.4
	"1982"	"1982"	"25-34 years"	"25-34"	321	39417256	0.8
	"1982"	"1982"	"35-44 years"	"35-44"	102	28030350	0.4
	"1982"	"1982"	"45-54 years"	"45-54"	61	22425309	0.3
	"1982"	"1982"	"55-64 years"	"55-64"	33	22029893	0.1
	"1982"	"1982"	"65-74 years"	"65-74"	24	16147900	0.1
	"1982"	"1982"	"75-84 years"	"75-84"	14	8202874	0.2 (Unreliable)
