"Notes"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"< 1 year"	"1"	20	3795762	0.5
	"1999"	"1999"	"1-4 years"	"1-4"	25	15339782	0.2
	"1999"	"1999"	"5-14 years"	"5-14"	29	40819824	0.1
	"1999"	"1999"	"15-24 years"	"15-24"	1240	38676031	3.2
	"1999"	"1999"	"25-34 years"	"25-34"	3236	40178406	8.1
	"1999"	"1999"	"35-44 years"	"35-44"	6295	45076677	14.0
	"1999"	"1999"	"45-54 years"	"45-54"	4067	36577819	11.1
	"1999"	"1999"	"55-64 years"	"55-64"	991	23778026	4.2
	"1999"	"1999"	"65-74 years"	"65-74"	434	18418909	2.4
	"1999"	"1999"	"75-84 years"	"75-84"	340	12224914	2.8
	"1999"	"1999"	"85+ years"	"85+"	156	4154018	3.8
	"1999"	"1999"	"Not Stated"	"NS"	16	Not Applicable	Not Applicable
"Total"	"1999"	"1999"			16849	279040168	6.0
	"2000"	"2000"	"< 1 year"	"1"	18	3805648	Unreliable
	"2000"	"2000"	"1-4 years"	"1-4"	14	15370150	Unreliable
	"2000"	"2000"	"5-14 years"	"5-14"	42	41077577	0.1
	"2000"	"2000"	"15-24 years"	"15-24"	1435	39183891	3.7
	"2000"	"2000"	"25-34 years"	"25-34"	3169	39891724	7.9
	"2000"	"2000"	"35-44 years"	"35-44"	6469	45148527	14.3
	"2000"	"2000"	"45-54 years"	"45-54"	4389	37677952	11.6
	"2000"	"2000"	"55-64 years"	"55-64"	1013	24274684	4.2
	"2000"	"2000"	"65-74 years"	"65-74"	371	18390986	2.0
	"2000"	"2000"	"75-84 years"	"75-84"	295	12361180	2.4
	"2000"	"2000"	"85+ years"	"85+"	188	4239587	4.4
	"2000"	"2000"	"Not Stated"	"NS"	12	Not Applicable	Not Applicable
"Total"	"2000"	"2000"			17415	281421906	6.2
	"2001"	"2001"	"< 1 year"	"1"	22	4012658	0.5
	"2001"	"2001"	"1-4 years"	"1-4"	26	15285559	0.2
	"2001"	"2001"	"5-14 years"	"5-14"	43	41152040	0.1
	"2001"	"2001"	"15-24 years"	"15-24"	1700	40213570	4.2
	"2001"	"2001"	"25-34 years"	"25-34"	3410	39471522	8.6
	"2001"	"2001"	"35-44 years"	"35-44"	6968	45051752	15.5
	"2001"	"2001"	"45-54 years"	"45-54"	5115	39386268	13.0
	"2001"	"2001"	"55-64 years"	"55-64"	1185	25105295	4.7
	"2001"	"2001"	"65-74 years"	"65-74"	440	18384179	2.4
	"2001"	"2001"	"75-84 years"	"75-84"	311	12593618	2.5
	"2001"	"2001"	"85+ years"	"85+"	159	4312494	3.7
	"2001"	"2001"	"Not Stated"	"NS"	15	Not Applicable	Not Applicable
"Total"	"2001"	"2001"			19394	284968955	6.8
	"2002"	"2002"	"< 1 year"	"1"	27	3951461	0.7
	"2002"	"2002"	"1-4 years"	"1-4"	30	15477731	0.2
	"2002"	"2002"	"5-14 years"	"5-14"	40	41133838	0.1
	"2002"	"2002"	"15-24 years"	"15-24"	2095	40854135	5.1
	"2002"	"2002"	"25-34 years"	"25-34"	4125	39349646	10.5
	"2002"	"2002"	"35-44 years"	"35-44"	8064	44640649	18.1
	"2002"	"2002"	"45-54 years"	"45-54"	6466	39992194	16.2
	"2002"	"2002"	"55-64 years"	"55-64"	1601	26703332	6.0
	"2002"	"2002"	"65-74 years"	"65-74"	508	18388535	2.8
	"2002"	"2002"	"75-84 years"	"75-84"	359	12764864	2.8
	"2002"	"2002"	"85+ years"	"85+"	193	4368808	4.4
	"2002"	"2002"	"Not Stated"	"NS"	10	Not Applicable	Not Applicable
"Total"	"2002"	"2002"			23518	287625193	8.2
	"2003"	"2003"	"< 1 year"	"1"	24	3975871	0.6
	"2003"	"2003"	"1-4 years"	"1-4"	35	15616575	0.2
	"2003"	"2003"	"5-14 years"	"5-14"	41	41036204	0.1
	"2003"	"2003"	"15-24 years"	"15-24"	2491	41388854	6.0
	"2003"	"2003"	"25-34 years"	"25-34"	4488	39243795	11.4
	"2003"	"2003"	"35-44 years"	"35-44"	8358	44154206	18.9
	"2003"	"2003"	"45-54 years"	"45-54"	7325	40819954	17.9
	"2003"	"2003"	"55-64 years"	"55-64"	1943	28008945	6.9
	"2003"	"2003"	"65-74 years"	"65-74"	534	18500915	2.9
	"2003"	"2003"	"75-84 years"	"75-84"	353	12896438	2.7
